iter	Passed	Remaining
0	185	371149
1	216	216202
2	242	161249
3	267	133527
4	292	116818
5	319	106240
6	344	98137
7	367	91610
8	390	86418
9	415	82710
10	438	79218
11	461	76493
12	486	74348
13	510	72488
14	535	70905
15	559	69378
16	582	67989
17	609	67081
18	637	66515
19	663	65677
20	687	64787
21	716	64394
22	746	64132
23	777	64003
24	805	63625
25	835	63462
26	860	62875
27	887	62517
28	915	62221
29	940	61761
30	964	61241
31	990	60924
32	1018	60736
33	1045	60433
34	1072	60205
35	1099	59967
36	1124	59683
37	1151	59440
38	1178	59268
39	1205	59074
40	1232	58884
41	1260	58776
42	1285	58492
43	1311	58320
44	1337	58121
45	1364	57978
46	1389	57734
47	1415	57568
48	1442	57435
49	1468	57274
50	1495	57144
51	1518	56884
52	1542	56666
53	1567	56502
54	1594	56371
55	1619	56202
56	1641	55954
57	1664	55726
58	1689	55568
59	1711	55349
60	1739	55298
61	1765	55195
62	1790	55036
63	1815	54923
64	1841	54808
65	1865	54656
66	1889	54526
67	1916	54439
68	1938	54259
69	1963	54144
70	1989	54042
71	2013	53916
72	2035	53744
73	2058	53586
74	2085	53534
75	2104	53284
76	2130	53211
77	2155	53119
78	2178	52963
79	2202	52853
80	2227	52762
81	2252	52693
82	2278	52617
83	2305	52576
84	2329	52492
85	2356	52435
86	2381	52360
87	2405	52257
88	2429	52166
89	2454	52093
90	2477	51970
91	2500	51867
92	2526	51810
93	2551	51729
94	2576	51660
95	2594	51449
96	2619	51393
97	2643	51313
98	2669	51255
99	2693	51173
100	2713	51020
101	2738	50960
102	2766	50951
103	2794	50947
104	2824	50974
105	2854	50997
106	2882	50998
107	2898	50772
108	2921	50675
109	2946	50620
110	2967	50506
111	2990	50412
112	3016	50365
113	3041	50324
114	3068	50292
115	3084	50094
116	3110	50063
117	3135	50004
118	3158	49924
119	3183	49880
120	3208	49831
121	3231	49736
122	3255	49682
123	3283	49669
124	3308	49620
125	3331	49546
126	3357	49520
127	3384	49498
128	3411	49484
129	3439	49474
130	3465	49445
131	3491	49403
132	3516	49367
133	3542	49336
134	3568	49303
135	3596	49287
136	3621	49241
137	3647	49212
138	3674	49196
139	3700	49167
140	3724	49106
141	3750	49072
142	3773	49000
143	3797	48944
144	3825	48935
145	3850	48898
146	3875	48850
147	3898	48785
148	3924	48753
149	3954	48771
150	3978	48722
151	4004	48689
152	4030	48652
153	4056	48625
154	4082	48590
155	4107	48550
156	4133	48524
157	4154	48438
158	4182	48427
159	4207	48383
160	4232	48344
161	4256	48298
162	4281	48254
163	4305	48203
164	4329	48154
165	4354	48107
166	4379	48067
167	4403	48022
168	4429	47993
169	4452	47925
170	4476	47885
171	4501	47845
172	4527	47810
173	4551	47769
174	4577	47732
175	4600	47682
176	4626	47646
177	4652	47619
178	4675	47567
179	4699	47522
180	4722	47458
181	4747	47426
182	4773	47398
183	4799	47368
184	4824	47332
185	4849	47298
186	4871	47231
187	4894	47172
188	4920	47144
189	4945	47108
190	4967	47052
191	4993	47023
192	5018	46988
193	5043	46951
194	5069	46920
195	5093	46879
196	5118	46843
197	5143	46812
198	5167	46766
199	5193	46744
200	5219	46712
201	5253	46764
202	5281	46750
203	5306	46719
204	5331	46686
205	5357	46655
206	5382	46621
207	5407	46584
208	5430	46534
209	5451	46470
210	5473	46411
211	5499	46379
212	5523	46341
213	5548	46307
214	5574	46285
215	5601	46262
216	5628	46245
217	5652	46204
218	5677	46171
219	5703	46145
220	5729	46119
221	5756	46101
222	5778	46049
223	5803	46016
224	5829	45990
225	5855	45966
226	5881	45934
227	5906	45905
228	5932	45877
229	5957	45845
230	5982	45814
231	6005	45764
232	6030	45736
233	6059	45732
234	6084	45699
235	6108	45658
236	6133	45623
237	6158	45596
238	6184	45567
239	6209	45535
240	6235	45514
241	6261	45485
242	6285	45450
243	6311	45421
244	6337	45394
245	6361	45360
246	6387	45330
247	6411	45296
248	6437	45271
249	6462	45237
250	6487	45208
251	6516	45200
252	6541	45171
253	6566	45137
254	6590	45097
255	6614	45062
256	6639	45027
257	6662	44986
258	6687	44954
259	6712	44921
260	6733	44867
261	6760	44848
262	6788	44834
263	6813	44806
264	6838	44772
265	6861	44730
266	6885	44689
267	6910	44657
268	6934	44620
269	6959	44592
270	6981	44543
271	7007	44515
272	7031	44482
273	7055	44445
274	7080	44411
275	7107	44393
276	7131	44361
277	7154	44313
278	7179	44285
279	7204	44258
280	7230	44229
281	7255	44201
282	7278	44162
283	7301	44117
284	7326	44088
285	7350	44051
286	7376	44027
287	7400	43988
288	7424	43958
289	7446	43910
290	7471	43877
291	7495	43843
292	7520	43811
293	7544	43777
294	7569	43746
295	7593	43714
296	7619	43689
297	7644	43661
298	7668	43625
299	7692	43589
300	7716	43557
301	7748	43565
302	7777	43557
303	7802	43531
304	7828	43505
305	7855	43487
306	7879	43453
307	7902	43412
308	7925	43369
309	7947	43328
310	7972	43299
311	7997	43267
312	8022	43236
313	8045	43199
314	8069	43167
315	8094	43138
316	8117	43096
317	8141	43062
318	8167	43037
319	8192	43009
320	8216	42974
321	8239	42937
322	8265	42913
323	8290	42886
324	8315	42858
325	8341	42833
326	8368	42812
327	8392	42782
328	8416	42750
329	8443	42727
330	8468	42699
331	8493	42672
332	8519	42648
333	8544	42621
334	8569	42593
335	8596	42573
336	8622	42547
337	8647	42521
338	8671	42490
339	8697	42463
340	8722	42437
341	8747	42407
342	8772	42379
343	8798	42356
344	8823	42326
345	8848	42299
346	8874	42277
347	8900	42250
348	8925	42222
349	8951	42199
350	8976	42172
351	9001	42143
352	9026	42115
353	9057	42112
354	9081	42080
355	9106	42052
356	9127	42008
357	9154	41986
358	9177	41952
359	9200	41912
360	9225	41884
361	9249	41854
362	9275	41827
363	9298	41793
364	9322	41759
365	9347	41732
366	9371	41700
367	9397	41676
368	9423	41650
369	9449	41630
370	9474	41600
371	9500	41576
372	9524	41543
373	9550	41522
374	9574	41488
375	9601	41472
376	9634	41477
377	9664	41471
378	9690	41445
379	9712	41405
380	9737	41378
381	9760	41340
382	9784	41311
383	9809	41282
384	9831	41240
385	9856	41212
386	9881	41185
387	9908	41166
388	9936	41149
389	9959	41114
390	9984	41088
391	10010	41062
392	10034	41030
393	10060	41009
394	10086	40983
395	10110	40954
396	10135	40925
397	10160	40897
398	10185	40870
399	10209	40839
400	10234	40808
401	10260	40787
402	10286	40761
403	10310	40732
404	10337	40713
405	10364	40691
406	10389	40662
407	10413	40631
408	10435	40594
409	10460	40564
410	10478	40511
411	10502	40479
412	10526	40450
413	10552	40425
414	10571	40375
415	10596	40347
416	10620	40317
417	10640	40271
418	10663	40236
419	10684	40194
420	10709	40166
421	10730	40126
422	10753	40091
423	10778	40064
424	10803	40036
425	10832	40024
426	10860	40010
427	10885	39979
428	10911	39958
429	10936	39931
430	10962	39906
431	10988	39884
432	11013	39856
433	11039	39832
434	11064	39807
435	11090	39782
436	11113	39747
437	11138	39720
438	11164	39699
439	11191	39678
440	11216	39653
441	11241	39625
442	11266	39598
443	11292	39573
444	11317	39549
445	11342	39522
446	11365	39486
447	11391	39462
448	11416	39435
449	11439	39402
450	11464	39377
451	11487	39341
452	11512	39314
453	11534	39279
454	11559	39252
455	11585	39226
456	11608	39194
457	11632	39165
458	11655	39129
459	11677	39094
460	11702	39066
461	11726	39037
462	11751	39010
463	11774	38979
464	11798	38949
465	11825	38927
466	11849	38897
467	11873	38867
468	11897	38839
469	11918	38799
470	11942	38767
